user_id,avg_txn_amount,txn_freq_per_day,night_txn_ratio,geo_diversity_score,device_changes_last_30d,foreign_txn_count,return_txn_ratio,linked_accounts_count,risk_tier
1,47873.58779738473,3,0.54,3,0,1,0.54,3,Low
2,29889.29460431175,2,0.23,6,5,1,0.25,3,Low
3,27645.67168741907,0,0.03,7,1,0,0.07,1,Low
4,27646.045886636013,1,0.21,1,0,1,0.05,4,Low
5,92994.28824461301,1,0.2,7,1,0,0.15,3,Medium
6,57334.12461928444,5,0.15,4,0,1,0.03,3,Low
7,22621.56003481798,2,0.3,5,2,0,0.21,4,Low
8,49396.289468624265,6,0.04,8,2,0,0.22,1,Low
9,39979.20528129294,2,0.0,4,2,0,0.13,1,Low
10,4318.298869811708,5,0.45,4,2,0,0.11,3,Low
11,13424.845653754124,2,0.05,8,2,0,0.16,1,Low
12,42123.31274696327,1,0.01,5,0,0,0.16,4,Low
13,87303.53734967057,1,0.14,6,4,1,0.32,2,Medium
14,27837.043699182923,2,0.16,5,1,0,0.28,4,Low
15,21160.548781086072,3,0.25,1,0,2,0.32,4,Low
16,36280.150829443315,2,0.08,7,2,0,0.35,2,Low
17,20105.689614361952,1,0.11,6,1,1,0.2,4,Low
18,26354.82762278377,5,0.11,2,0,2,0.1,3,Low
19,32986.049578805294,5,0.11,7,0,1,0.3,3,Low
20,12802.74609687767,2,0.08,6,0,1,0.34,1,Low
21,59401.20188426279,1,0.1,5,0,1,0.27,1,Low
22,10703.6289255808,3,0.08,8,1,0,0.24,4,Low
23,9455.868876693467,0,0.06,5,0,1,0.11,3,Low
24,38679.008357762694,2,0.12,2,1,0,0.28,3,Low
25,56267.07615958101,6,0.05,6,0,0,0.08,2,Low
26,37956.71148714141,7,0.13,1,2,0,0.35,1,Low
27,30435.583541692016,3,0.06,5,0,1,0.12,3,Low
28,26147.628699669483,3,0.17,6,3,0,0.05,4,Low
29,22798.19661373301,3,0.01,7,1,0,0.37,3,Low
30,68755.98601038898,1,0.04,2,0,0,0.29,1,Low
31,42420.87878779844,3,0.05,1,1,3,0.22,4,Low
32,24346.376273173082,4,0.01,6,0,0,0.18,1,Low
33,18732.130586231146,4,0.17,3,2,0,0.1,3,Low
34,51752.379134157476,1,0.08,5,1,0,0.26,3,Low
35,67668.83346804435,3,0.11,2,1,2,0.07,3,Low
36,63624.195636057775,0,0.21,1,0,2,0.05,1,Low
37,16020.94096422694,2,0.35,1,1,1,0.32,4,Low
38,25969.956025752486,4,0.47,4,1,1,0.27,3,Low
39,22428.69935040197,6,0.21,2,0,0,0.29,3,Low
40,28765.76231571977,3,0.17,1,1,2,0.35,3,Low
41,59021.77046726512,2,0.71,6,0,0,0.08,2,Medium
42,82045.24914414421,4,0.1,4,4,0,0.19,2,Medium
43,43569.742806169976,2,0.13,7,1,0,0.17,4,Low
44,19296.892461844345,4,0.3,6,1,0,0.19,1,Low
45,32416.839297778082,2,0.02,5,6,1,0.12,3,Low
46,92250.79070147169,6,0.08,2,0,0,0.23,3,Low
47,35631.77203107706,2,0.27,5,1,2,0.26,1,Low
48,26193.694051511542,0,0.27,9,1,0,0.17,1,Low
49,27977.05223602557,5,0.06,9,3,0,0.02,4,Medium
50,43430.267280960245,3,0.29,2,1,0,0.12,1,Low
51,16512.634690105253,2,0.16,7,0,1,0.39,3,Low
52,21983.942362467253,5,0.27,4,2,1,0.24,4,Low
53,62995.44787148501,4,0.18,3,2,0,0.34,2,Medium
54,42562.552306461286,4,0.3,1,1,1,0.02,4,Low
